OID_,start_DomLoc,end_DomLoc,FlowDir,multInt,long,lat,hl_link,hf_id,poi_id,hl_uri,START_X,START_Y,END_X,END_Y,order_,flowpath_id,TopWdth,TopWdthCC
78,o,i,1,0,-152.683039919999999,60.013625979600000,Alaska78,79907.000000000000000,136,coastal-Alaska78,-152.677598060000008,60.017292660099997,-152.674146059999998,59.980848084999998,1.000000000000000,wb-1101,7.449728481163240,22.349185443489699
79,o,i,1,0,-152.690481976999990,59.983657273500000,Alaska79,78227.000000000000000,127,coastal-Alaska79,-152.736281665999996,60.010292625600002,-152.674146059999998,59.980848084999998,1.000000000000000,wb-1099,6.809081664385760,20.427244993157299
80,o,i,1,0,-149.421703261000005,60.140609860600001,Alaska80,335255.000000000000000,690,coastal-Alaska80,-149.452372770000011,60.158738129500001,-149.417852984999996,60.138849174400001,3.000000000000000,wb-1290,19.952876630380000,59.858629891139898
81,o,i,1,0,-149.427345921000011,60.138658994099998,Alaska81,89978.000000000000000,181,coastal-Alaska81,-149.492070485999989,60.126404673099998,-149.417852984999996,60.138849174400001,1.000000000000000,wb-1324,6.856554051443040,20.569662154329102
82,o,i,1,0,-148.351400711999986,60.166405000799998,Alaska82,207575.000000000000000,553,coastal-Alaska82,-148.359606245999998,60.164627214900001,-148.338031387000001,60.162738322700001,1.000000000000000,wb-1339,6.841358283446080,20.524074850338199
83,o,i,1,1,-148.328374875000009,60.181071723599999,Alaska83,113492.000000000000000,379,coastal-Alaska83,-148.312573073000010,60.190738427900001,-148.338031387000001,60.162738322700001,1.000000000000000,wb-1342,6.893310553458450,20.679931660375399
84,o,i,1,0,-144.433219129000008,60.280172908600001,Alaska84,111804.000000000000000,364,coastal-Alaska84,-144.432982205999991,60.297072769700002,-144.430177449000013,60.258739297900000,1.000000000000000,wb-1354,6.818082211869630,20.454246635608900
85,o,i,1,0,-144.457764144999999,60.272072675600000,Alaska85,105086.000000000000000,295,coastal-Alaska85,-144.473327175000009,60.273739345300001,-144.430177449000013,60.258739297900000,1.000000000000000,wb-1357,6.937588847028100,20.812766541084301
86,o,i,1,0,-152.829620172999995,60.205446009699997,Alaska86,78213.000000000000000,124,coastal-Alaska86,-152.884069541999992,60.178848764400001,-152.805105588999993,60.213626679900003,1.000000000000000,wb-1458,7.224079986813000,21.672239960439001
87,o,i,1,0,-152.921160845000003,60.233413516299997,Alaska87,321809.000000000000000,674,coastal-Alaska87,-152.921394079000009,60.233071175799999,-152.888384556999995,60.247071231500001,2.000000000000000,wb-1450,10.645935119179899,31.937805357539801
88,o,i,1,0,-152.929178761000003,60.266849074400000,Alaska88,252927.000000000000000,600,coastal-Alaska88,-152.955698116000008,60.255293472500000,-152.902623968000000,60.255293481000002,1.000000000000000,wb-1446,7.806171258604300,23.418513775812901
89,o,i,1,0,-152.894160397000007,60.285874588399999,Alaska89,79884.000000000000000,133,coastal-Alaska89,-152.882775119999991,60.286626930300002,-152.902408237000003,60.281404686199998,1.000000000000000,wb-1445,5.731510254800750,17.194530764402302
90,o,i,1,1,-152.973751564999986,60.300515854300002,Alaska90,375563.000000000000000,727,coastal-Alaska90,-152.985902944000003,60.299738072099998,-152.908664950000002,60.289071379399999,4.000000000000000,wb-1376,24.230616714014900,72.691850142044800
91,o,i,1,0,-152.854773676000008,60.211380794199997,Alaska91,93331.000000000000000,200,coastal-Alaska91,-152.870693149999994,60.208293316899997,-152.834663148000004,60.221404481000000,1.000000000000000,wb-1457,5.555535099234350,16.666605297703001
92,o,i,1,0,-148.428099852999992,60.190457240500002,Alaska92,271414.000000000000000,627,coastal-Alaska92,-148.520770438000000,60.175516117299999,-148.396715021000006,60.196960659100000,2.000000000000000,wb-1460,10.319720263120001,30.959160789359899
93,o,i,1,0,-148.448962845000011,60.179497253199997,Alaska93,131974.000000000000000,483,coastal-Alaska93,-148.468990775999998,60.169293880900000,-148.402324482000012,60.194071758900002,1.000000000000000,wb-1464,7.317006318341950,21.951018955025901
94,o,i,1,0,-148.396283565000005,60.260166685199998,Alaska94,115168.000000000000000,396,coastal-Alaska94,-148.406855234999995,60.244516384800001,-148.357233070999996,60.257294216699997,1.000000000000000,wb-1585,6.305843393451370,18.917530180354099
95,o,i,1,0,-148.371903994000007,60.286547344399999,Alaska95,288203.000000000000000,642,coastal-Alaska95,-148.371472511000007,60.309516625299999,-148.357233073999993,60.262183123299998,2.000000000000000,wb-1581,12.176428120384600,36.529284361153799
96,o,i,1,0,-148.406803063000012,60.264765555499999,Alaska96,118527.000000000000000,415,coastal-Alaska96,-148.424762377999997,60.260738662800001,-148.388085127000011,60.272294266000003,1.000000000000000,wb-1578,6.767229970936670,20.301689912810001
97,o,i,1,0,-148.410268476999988,60.276294277200002,Alaska97,257967.000000000000000,606,coastal-Alaska97,-148.475463289999993,60.256294194100001,-148.392184350999997,60.273072045900001,2.000000000000000,wb-1574,9.903651106788271,29.710953320364801
98,o,i,1,0,-148.407124245000006,60.279988374699997,Alaska98,263004.000000000000000,617,coastal-Alaska98,-148.482367266000011,60.289960981299998,-148.394341837000013,60.274072049200001,3.000000000000000,wb-1543,17.852145720683900,53.556437162051800
99,o,i,1,0,-148.398663739000000,60.280735172400000,Alaska99,105084.000000000000000,294,coastal-Alaska99,-148.456261691999998,60.294961003600001,-148.394341837000013,60.274072049200001,1.000000000000000,wb-1572,6.806572906629000,20.419718719887001
100,o,i,1,0,-144.609199998999998,60.266183740599999,Alaska100,118525.000000000000000,414,coastal-Alaska100,-144.581201472999993,60.284406033300002,-144.675483598000000,60.276183766099997,1.000000000000000,wb-1594,8.757904610222379,26.273713830667099
101,o,i,1,1,-152.471038889999988,60.287026140899997,Alaska101,81559.000000000000000,142,coastal-Alaska101,-152.571449978999993,60.351627214099999,-152.460986668000004,60.282626983299998,1.000000000000000,wb-1602,9.316263620101580,27.948790860304701
102,o,i,1,1,-152.537447840999988,60.279027018299999,Alaska102,79879.000000000000000,132,coastal-Alaska102,-152.629917838000011,60.346849409800001,-152.460986668000004,60.282626983299998,1.000000000000000,wb-1600,9.668591131267631,29.005773393802901
103,o,i,1,0,-148.274816076000008,60.324295030499997,Alaska103,118523.000000000000000,413,coastal-Alaska103,-148.283447091999989,60.308627747400003,-148.224979254000004,60.347739009199998,1.000000000000000,wb-1645,7.763447400233490,23.290342200700501
104,o,i,1,0,-148.265163652000012,60.362323015000001,Alaska104,106757.000000000000000,315,coastal-Alaska104,-148.305884988000003,60.375627985800001,-148.240728904999997,60.355072366500004,1.000000000000000,wb-1643,7.449684094788180,22.349052284364600
105,o,i,1,1,-148.232746214000002,60.366593907099997,Alaska105,94992.000000000000000,211,coastal-Alaska105,-148.195206011000010,60.439628234899999,-148.240728904999997,60.355072366500004,1.000000000000000,wb-1640,9.395665576052091,28.186996728156299
106,o,i,1,0,-151.269910912000000,60.353738542000002,Alaska106,217639.000000000000000,559,coastal-Alaska106,-151.216333216000010,60.350405204600001,-151.282999526999987,60.353516316300002,2.000000000000000,wb-1860,10.054737418923001,30.164212256769002
107,o,i,1,0,-151.284293993000006,60.314725461300000,Alaska107,390685.000000000000000,739,coastal-Alaska107,-151.278253008999997,60.278182712200000,-151.284293998999999,60.324182876999998,2.000000000000000,wb-1714,14.318018658596900,42.954055975790702
108,o,i,1,0,-151.273995942999989,60.321738425500001,Alaska108,377242.000000000000000,729,coastal-Alaska108,-151.250205719999997,60.316738411199999,-151.284293998999999,60.324182876999998,4.000000000000000,wb-1706,31.409490205741601,94.228470617224701
109,o,i,1,1,-145.236836063999988,60.443197387900000,Alaska109,378911.000000000000000,732,coastal-Alaska109,-145.188102340999990,60.451962098000003,-145.268792303999987,60.441962048800001,2.000000000000000,wb-1869,11.306724138430299,33.920172415290999
110,o,i,1,0,-145.281952977999993,60.457726338199997,Alaska110,116830.000000000000000,406,coastal-Alaska110,-145.276127766999991,60.459295443700000,-145.271381289999994,60.447073177999997,1.000000000000000,wb-1880,5.513624339145900,16.540873017437701
111,o,i,1,0,-145.290316523999991,60.468406585099999,Alaska111,118509.000000000000000,412,coastal-Alaska111,-145.287130950999995,60.468739920600001,-145.295545140999991,60.462295451400003,1.000000000000000,wb-1879,5.356476010863370,16.069428032590100
112,o,i,1,0,-145.374284638999995,60.490188937399999,Alaska112,333546.000000000000000,686,coastal-Alaska112,-145.311726318000012,60.512406741400000,-145.397378483000011,60.480406611699998,3.000000000000000,wb-1905,15.850728504143801,47.552185512431500
113,o,i,1,0,-145.399320232000008,60.498292967300003,Alaska113,93298.000000000000000,193,coastal-Alaska113,-145.256494742000001,60.603407079800000,-145.402124953999987,60.484739959999999,1.000000000000000,wb-1922,8.749752977389351,26.249258932168100
114,o,i,1,0,-145.483677951999994,60.538037008499998,Alaska114,94982.000000000000000,210,coastal-Alaska114,-145.436644773000012,60.553295758099999,-145.487561430999989,60.543740159800002,1.000000000000000,wb-1937,6.616716823365700,19.850150470097098
115,o,i,1,0,-145.479252336000002,60.525463741099998,Alaska115,133625.000000000000000,486,coastal-Alaska115,-145.462534583999997,60.525073429599999,-145.478284223999992,60.516184505900000,1.000000000000000,wb-1942,6.136417249249700,18.409251747749099
116,o,i,1,0,-145.463798080000004,60.510612975800001,Alaska116,115144.000000000000000,394,coastal-Alaska116,-145.382060367999998,60.532184579400003,-145.478284223999992,60.516184505900000,1.000000000000000,wb-1940,6.513991031689420,19.541973095068300
117,o,i,1,0,-144.699644621999994,60.412960538900002,Alaska117,429314.000000000000000,759,coastal-Alaska117,-144.693175069000006,60.410406471800002,-144.740424030000014,60.442739914599997,3.000000000000000,wb-1975,21.952640517358802,65.857921552076306
118,o,i,1,0,-144.603330000999989,60.418580501199997,Alaska118,120194.000000000000000,434,coastal-Alaska118,-144.601050429999987,60.417739846499998,-144.679582936000003,60.451184399500001,1.000000000000000,wb-2025,6.978568448962060,20.935705346886198
119,o,i,1,1,-144.623330000999999,60.448628843400002,Alaska119,271392.000000000000000,626,coastal-Alaska119,-144.591773257000000,60.442517715599998,-144.628666272999993,60.454406641600002,2.000000000000000,wb-2035,10.632406779378000,31.897220338134002
120,o,i,1,0,-144.623330000000010,60.454406642099997,Alaska120,100028.000000000000000,246,coastal-Alaska120,-144.479152526000007,60.485629001100001,-144.628666272999993,60.454406641600002,1.000000000000000,wb-2039,8.448463361369040,25.345390084107098
121,o,i,1,0,-144.629999999999995,60.472406707099999,Alaska121,120187.000000000000000,433,coastal-Alaska121,-144.551212557000014,60.491962345700003,-144.693390853000011,60.463628886800002,1.000000000000000,wb-2040,8.044491319556540,24.133473958669601
122,o,i,1,0,-144.673580447999996,60.485406746599999,Alaska122,328505.000000000000000,680,coastal-Alaska122,-144.527480230999998,60.519518005000002,-144.745170516999991,60.470184457700000,2.000000000000000,wb-2045,12.332241691839201,36.996725075517702
123,o,i,1,0,-144.675837723999990,60.486962307500001,Alaska123,116826.000000000000000,405,coastal-Alaska123,-144.625214335000010,60.514184636499998,-144.743228783000006,60.475295587700003,1.000000000000000,wb-2057,8.062974976942030,24.188924930826101
124,o,i,1,0,-144.701253938999997,60.500184573699997,Alaska124,115146.000000000000000,395,coastal-Alaska124,-144.679367227000000,60.510740170799998,-144.728342147000006,60.499517900100003,1.000000000000000,wb-2056,6.656870370805410,19.970611112416201
125,o,i,1,0,-144.789410849999996,60.551400878999999,Alaska125,331861.000000000000000,684,coastal-Alaska125,-144.757036758999988,60.575518170700001,-144.790477769999995,60.546518060300002,2.000000000000000,wb-2060,9.620103041509330,28.860309124528001
126,o,i,1,0,-144.788206234000000,60.547184729599998,Alaska126,126903.000000000000000,467,coastal-Alaska126,-144.786162800000000,60.548740291300000,-144.790477769999995,60.546518060300002,1.000000000000000,wb-2065,5.141702187438880,15.425106562316699
127,o,i,1,0,-144.986093159999996,60.542108882199997,Alaska127,96662.000000000000000,220,coastal-Alaska127,-144.998890910000000,60.562518084499999,-144.984867229000002,60.528629075200001,1.000000000000000,wb-2076,6.645252042520960,19.935756127562900
128,o,i,1,0,-144.937402552999998,60.545278093900002,Alaska128,98342.000000000000000,232,coastal-Alaska128,-144.941717530999995,60.555629179900002,-144.949268716000006,60.533295764499996,1.000000000000000,wb-2074,6.355084502882050,19.065253508646101
129,o,i,1,0,-144.916348725999995,60.547341931100000,Alaska129,100020.000000000000000,245,coastal-Alaska129,-144.948405758000007,60.586851514199999,-144.907844995999994,60.543962476499999,1.000000000000000,wb-2068,5.880218466266280,17.640655398798799
130,o,i,1,1,-144.877424466999997,60.574741587200002,Alaska130,103377.000000000000000,276,coastal-Alaska130,-144.974727102000003,60.612629381100000,-144.854770855999988,60.560184766100001,1.000000000000000,wb-7840,7.659449897678490,22.978349693035501
131,o,i,1,0,-144.857190787000008,60.609986755100003,Alaska131,105057.000000000000000,291,coastal-Alaska131,-144.868578805999988,60.621851653900002,-144.854986636999996,60.608962720500003,1.000000000000000,wb-7836,6.272678557192900,18.818035671578698
132,o,i,1,0,-145.668614418000004,60.508517781000002,Alaska132,108426.000000000000000,333,coastal-Alaska132,-145.679577644000005,60.508073332899997,-145.667495723000002,60.508184446400001,1.000000000000000,wb-7885,5.425924074107370,16.277772222322099
133,o,i,1,0,-145.691210313999989,60.546860404900002,Alaska133,120183.000000000000000,432,coastal-Alaska133,-145.705467496000011,60.542962343900001,-145.659513048999997,60.543406797400003,1.000000000000000,wb-7884,6.774638264592550,20.323914793777600
134,o,i,1,0,-145.672168843000009,60.561666876799997,Alaska134,321780.000000000000000,673,coastal-Alaska134,-145.664906785999989,60.576629138999998,-145.659513049999987,60.544517912600000,2.000000000000000,wb-7877,11.408571213417201,34.225713640251698
135,o,i,1,0,-145.657329073999989,60.549198240899997,Alaska135,93302.000000000000000,194,coastal-Alaska135,-145.616794841999990,60.560629088900001,-145.659513049999987,60.544517912600000,1.000000000000000,wb-7883,6.774215428360300,20.322646285080900
