OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
351,800016646,-157.977586924999997,21.691006501400000,-157.979419925000002,21.696430634100000,o,i,1,0,-157.978867661000010,21.695373678100001,HI-352
352,800005528,-157.967292993000001,21.684773101699999,-157.962797193000000,21.693253701100002,o,i,1,0,-157.966326458999987,21.687519256500000,HI-353
353,800007541,-158.222881583999992,21.551164712599999,-158.240406183000005,21.545468246100000,o,i,1,0,-158.240363564000006,21.545460280099999,HI-354
354,800007540,-158.229172984000002,21.534240113700001,-158.229626184000011,21.533997713700000,o,i,1,0,-158.229242007000011,21.534185052700000,HI-355
355,800003025,-158.216064184000004,21.530870313800001,-158.228324984000011,21.529861846999999,o,i,1,0,-158.225563988000005,21.530742626900000,HI-356
356,800007539,-158.204587118999996,21.515791047600000,-158.228177517999995,21.526942914199999,o,i,1,0,-158.227072531000005,21.526795329199999,HI-357
357,800014207,-158.210708184999987,21.504181715400001,-158.229481717999988,21.505287848500000,o,i,1,0,-158.227688277999988,21.505239597500001,HI-358
358,800014214,-158.196851720000012,21.467711384499999,-158.205660118999987,21.459015985200001,o,i,1,0,-158.201206178999996,21.463878406799999,HI-359
359,800005306,-158.180844586000006,21.459133917900001,-158.182327985999990,21.455405718100000,o,i,1,0,-158.181508524000009,21.457914739000000,HI-360
360,800007559,-158.173661786999986,21.456874318000001,-158.182327985999990,21.455405718100000,o,i,1,0,-158.176167327000002,21.455066168100000,HI-361
361,800000796,-158.141751521999993,21.427880586400001,-158.151779121999994,21.437635785900000,o,i,1,0,-158.147565899000000,21.435910877000001,HI-362
362,800014236,-158.142973922000010,21.441444718600000,-158.151779121999994,21.437635785900000,o,i,1,0,-158.148500790000014,21.439541775700000,HI-363
363,800014249,-158.127959389000011,21.387603788700002,-158.139886388999997,21.375792722600000,o,i,1,0,-158.137462384999992,21.378063923399999,HI-364
364,800005330,-158.124324989999991,21.370416322800001,-158.132024324000014,21.359526590500000,o,i,1,0,-158.130736960999997,21.360094504500001,HI-365
365,800000812,-158.125378323999996,21.348425191099999,-158.128722589999995,21.345643324400001,o,i,1,0,-158.126401899000001,21.347573749199999,HI-366
366,800005496,-157.984925728999997,21.399250786400000,-157.978227395999994,21.395523319500001,o,i,1,0,-157.981077658999993,21.396567152500001,HI-367
367,800010015,-157.946755996999997,21.393276186300000,-157.951296130000003,21.388883119599999,o,i,1,0,-157.947237715999989,21.393148402300000,HI-368
