OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
160,800023874,-67.140267799200004,18.176668784000000,-67.142308866799993,18.174608716400002,o,i,1,0,-67.142606385899995,18.175391620599999,PRVI-161
161,800034525,-67.166587805800006,18.084999156599999,-67.184328811300006,18.089388557600000,o,i,1,0,-67.178469049499995,18.091602385300000,PRVI-162
162,800032410,-67.175086675299994,18.082200555600000,-67.184328811300006,18.089388557600000,o,i,1,0,-67.182118282600001,18.088178502300000,PRVI-163
163,800030265,-67.170225673800005,18.081373888400002,-67.173484874699994,18.074485353299998,o,i,1,0,-67.171069715000002,18.077110615199999,PRVI-164
164,800036745,-67.161213670999999,18.081652555700000,-67.166867605700006,18.074984886599999,o,i,1,0,-67.166664222600005,18.075422339700001,PRVI-165
165,800023805,-67.160965403800006,18.074855353600000,-67.166867605700006,18.074984886599999,o,i,1,0,-67.166116590399994,18.074956323599999,PRVI-166
166,800032491,-67.135500663200006,18.087057357599999,-67.138311140200003,18.097002574499999,o,i,1,0,-67.137067864800002,18.095219800999999,PRVI-167
167,800032490,-67.142151865200006,18.086444290399999,-67.138311140200003,18.097002574499999,o,i,1,0,-67.141805043199994,18.093232479400001,PRVI-168
168,800025972,-67.168139474100002,18.134634571199999,-67.172322256300006,18.133344532700001,o,i,1,0,-67.169524680500004,18.133608163800002,PRVI-169
169,800034528,-67.162698795200001,18.120976477199999,-67.173406008499995,18.125419368399999,o,i,1,0,-67.165822292200005,18.122604100699998,PRVI-170
170,800026002,-67.162126271999995,18.124835368399999,-67.166042806299998,18.127011168999999,o,i,1,0,-67.164985842999997,18.126239118699999,PRVI-171
171,800038885,-67.164112672800002,18.131013103200001,-67.166370840400006,18.127235592000002,o,i,1,0,-67.165708675199994,18.128358200400001,PRVI-172
172,800030297,-67.160421804600006,18.128433302500000,-67.166042806299998,18.127011168999999,o,i,1,0,-67.165091218000001,18.127790451199999,PRVI-173
173,800032445,-67.166901406600005,18.131926703400001,-67.168644074100001,18.128769302399999,o,i,1,0,-67.167389727800000,18.130797252099999,PRVI-174
174,800039027,-67.126109665300007,18.385070778599999,-67.126344865400000,18.386181444900000,i,o,-1,0,-67.126336564400006,18.385325124600001,PRVI-175
175,800032567,-67.127970998899997,18.382161643700002,-67.126554472400002,18.382752807900001,o,i,1,0,-67.126876940499997,18.382618523800001,PRVI-176
176,800032526,-67.146034862400001,18.379678262700001,-67.140114433700006,18.384989229300000,o,i,1,0,-67.146049414399997,18.379907465700001,PRVI-177
177,800032399,-67.203732888999994,18.365973171699999,-67.205515889699996,18.373523239899999,o,i,1,0,-67.206167596800000,18.367385435100001,PRVI-178
178,800032416,-67.171871172300001,18.136754067700000,-67.176131676599994,18.136604171599998,o,i,1,0,-67.172602823500000,18.136786160700002,PRVI-179
179,800030337,-67.151145607399997,18.463238067100001,-67.164102545299997,18.457660332300001,o,i,1,0,-67.161532532600006,18.458794490700001,PRVI-180
180,800032408,-67.173031807100003,18.049229078900002,-67.189575012299997,18.051075079200000,o,i,1,0,-67.189123860199999,18.051103429200001,PRVI-181
181,800026056,-67.124635421199997,18.110970146900002,-67.132848945800006,18.116306816300000,o,i,1,0,-67.128237880399993,18.113950876699999,PRVI-182
182,800023859,-67.125759644499993,18.106542696500000,-67.132848945800006,18.116306816300000,o,i,1,0,-67.129860953800005,18.109930434500001,PRVI-183
